regime,benchmark_seed,method,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,steps_mean,successful_steps_mean,crossings_mean,total_volume_mean_ml,final_abs_error_mean,controller_time_ms_per_step_mean
actuator_log_sd_0p10,404,new_pf,1000,97.2,41.4,0.8999999999999999,1.3,5.882,5.208847736625515,2.755,7.700066810186318,0.06766714250942987,136.81089054144536
actuator_log_sd_0p10,404,new_ppo,1000,94.5,40.0,2.6,1.5,7.813,6.152380952380953,2.921,8.439774573423966,0.11238326387775598,0.3521107971488072
actuator_log_sd_0p10,555,new_pf,1000,97.8,42.4,0.6,1.2,5.642,5.2413087934560325,2.537,7.746785530884349,0.05987205153590815,136.4300535273219
actuator_log_sd_0p10,555,new_ppo,1000,95.7,43.0,2.1,1.0999999999999999,7.098,5.804597701149425,2.622,8.235892332485072,0.0908259410016237,0.3601331547042017
titrant_scale_0p90,101,new_pf,1000,95.5,41.5,0.8,1.9,6.179,5.040837696335078,2.81,8.192750000000002,0.06966705713260092,128.49980338285783
titrant_scale_0p90,101,new_ppo,1000,93.0,44.4,2.3,2.0,8.092,5.88494623655914,2.984,8.79186,0.10032762773785066,0.3374246806700518
titrant_scale_0p90,202,new_pf,1000,95.1,39.0,0.8,1.5,6.662,5.170347003154574,3.26,8.22389,0.06898073437542664,129.97185915898672
titrant_scale_0p90,202,new_ppo,1000,92.2,39.800000000000004,2.1999999999999997,1.9,8.283,5.7321041214750545,3.324,8.732230000000001,0.09223211567063844,0.3421605803630765
titrant_scale_0p90,303,new_pf,1000,94.89999999999999,38.9,1.0,2.6,6.271,5.145416227608008,2.716,8.28354,0.07603190582096614,130.38313062751627
titrant_scale_0p90,303,new_ppo,1000,94.19999999999999,42.9,1.7999999999999998,1.0999999999999999,8.248,6.1847133757961785,2.97,8.93944,0.09702303556575796,0.3468000809070337
titrant_scale_0p90,404,new_pf,1000,95.19999999999999,40.5,1.0999999999999999,1.4000000000000001,6.51,5.024159663865547,3.092,7.901370000000001,0.07913340587749766,127.72800000991664
titrant_scale_0p90,404,new_ppo,1000,91.9,41.6,3.2,1.9,8.207,5.661588683351469,3.064,8.643510000000001,0.1181839927867986,0.3342519768149625
titrant_scale_0p90,555,new_pf,1000,94.69999999999999,37.9,1.5,2.1999999999999997,6.365,4.9873284054910245,2.952,8.014620000000003,0.07832606816928052,124.45499309799247
titrant_scale_0p90,555,new_ppo,1000,92.4,41.8,3.4000000000000004,1.7000000000000002,8.035,5.529220779220779,3.197,8.60636,0.11439696526950778,0.32425271740509143
titrant_scale_1p10,101,new_pf,1000,95.1,45.800000000000004,1.7000000000000002,1.5,6.249,4.787592008412198,3.348,7.698480000000002,0.0735719602511536,128.52575222601104
titrant_scale_1p10,101,new_ppo,1000,92.60000000000001,43.5,3.1,1.9,7.802,5.563714902807775,3.266,8.40061,0.12188901899827029,0.3422220191669366
titrant_scale_1p10,202,new_pf,1000,95.89999999999999,41.3,1.0999999999999999,1.3,6.102,4.8258602711157454,3.248,7.661240000000001,0.07334345958551011,126.79511544206433
titrant_scale_1p10,202,new_ppo,1000,93.30000000000001,45.5,2.8000000000000003,1.0,7.963,5.445873526259378,3.463,8.28175,0.11085157951660166,0.3298433211431643
titrant_scale_1p10,303,new_pf,1000,95.3,46.800000000000004,1.2,1.3,6.243,4.68520461699895,3.354,7.695280000000001,0.06872424612935514,128.75425080586552
titrant_scale_1p10,303,new_ppo,1000,92.30000000000001,46.6,3.0,1.9,8.208,5.651137594799566,3.552,8.44985,0.11191243630255472,0.3347883013797845
titrant_scale_1p10,404,new_pf,1000,94.8,43.5,1.2,1.2,6.482,4.6613924050632916,3.6,7.417750000000001,0.07591750970101582,127.07212183438342
titrant_scale_1p10,404,new_ppo,1000,91.10000000000001,43.2,3.5000000000000004,2.0,8.531,5.437980241492865,3.937,8.24761,0.11586745249972427,0.3304765600449807
titrant_scale_1p10,555,new_pf,1000,94.8,41.8,1.3,1.5,6.36,4.722573839662447,3.469,7.518950000000002,0.07101926860580542,123.95906991524224
titrant_scale_1p10,555,new_ppo,1000,92.5,43.1,3.2,1.4000000000000001,7.755,5.128648648648649,3.459,8.03223,0.10922707926371811,0.31931665583655183
combined_unseen,101,new_pf,1000,38.3,19.0,21.0,35.099999999999994,18.091,6.253263707571802,1.129,8.3130498378839,0.5241753386128327,109.93025124077275
combined_unseen,101,new_ppo,1000,48.3,26.700000000000003,12.2,47.699999999999996,8.545,7.262939958592132,2.434,10.942374098675916,0.27451713989378596,0.32976544404035335
combined_unseen,202,new_pf,1000,34.699999999999996,18.8,21.4,38.6,18.726,6.619596541786744,1.162,8.371208622829373,0.5874280409621804,109.68524629022518
combined_unseen,202,new_ppo,1000,44.7,23.400000000000002,14.000000000000002,51.1,8.936,6.823266219239374,2.47,10.992942296295332,0.288455962216974,0.3237116875576954
combined_unseen,303,new_pf,1000,38.5,20.1,22.400000000000002,34.0,18.404,5.306493506493506,1.098,8.458570539653333,0.5275457997817354,104.73999099758377
combined_unseen,303,new_ppo,1000,48.1,27.500000000000004,11.4,49.2,8.396,6.8212058212058215,2.28,10.756867395957395,0.25631638898736436,0.3356276813289579
combined_unseen,404,new_pf,1000,35.8,19.7,19.2,39.2,17.966,5.9636871508379885,1.15,8.001959426103877,0.524552882605927,106.15326957974804
combined_unseen,404,new_ppo,1000,45.2,25.2,12.3,50.6,9.049,7.084070796460177,2.579,10.841947030061124,0.2710138398053727,0.3216043675894008
combined_unseen,555,new_pf,1000,34.5,19.7,19.6,40.2,17.65,6.101449275362318,1.123,8.078070619593893,0.46783745818029054,105.7325533455378
combined_unseen,555,new_ppo,1000,47.9,24.4,11.700000000000001,48.199999999999996,8.578,7.075156576200418,2.454,10.677659503880811,0.2593028912854504,0.30989108175252783
