experiment,acid_type,true_buffer_count,steps_taken,success,final_pH,target_pH,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
162,monoprotic,1,8,True,6.37,6.44,0.07000000000000028,0.985478785462143,0.20507365733046365,0.6874519013203526
163,triprotic,3,6,True,2.93,2.98,0.04999999999999982,0.9608777142240106,0.20638272151991766,0.0
159,triprotic,3,13,True,8.46,8.49,0.02999999999999936,1.6890972848493717,0.21539841449830677,0.0
165,diprotic,2,16,True,3.26,3.35,0.0900000000000003,0.47142634436772446,0.20690632425281005,0.20716826826202506
161,triprotic,3,16,True,9.48,9.42,0.0600000000000005,0.9096267271216149,0.16918277537459922,0.0
166,triprotic,3,10,True,10.74,10.75,0.009999999999999787,1.4654140655258245,0.2008098830678496,0.0
167,triprotic,3,4,True,2.45,2.43,0.020000000000000018,1.8666786730914986,0.20265360270549157,0.0
169,monoprotic,1,3,True,2.43,2.43,0.0,0.5408388662684387,0.20177418669667332,0.23787029413438704
164,monoprotic,1,50,False,7.51,8.15,0.6400000000000006,0.6497082991731329,0.2091182513578107,0.3926969379086117
171,triprotic,3,7,True,2.17,2.25,0.08000000000000007,2.1888171923232087,0.2062842356082046,0.0
168,monoprotic,1,8,True,3.07,2.99,0.07999999999999963,0.2980330191168221,0.10077763232177084,0.550514168041608
170,diprotic,2,24,True,9.0,9.06,0.0600000000000005,0.31318128817255486,0.19030340422915626,0.22476924112804156
173,triprotic,3,4,True,4.37,4.41,0.040000000000000036,0.6214980788481124,0.20709635301294993,0.0
174,monoprotic,1,7,True,10.93,10.94,0.009999999999999787,0.045940556204794536,0.1835282491053137,0.8311901603061812
172,triprotic,3,9,True,9.32,9.41,0.08999999999999986,1.5753564034084409,0.21659173029308787,0.0
175,diprotic,2,3,True,2.48,2.4,0.08000000000000007,0.9114535420470367,0.1748156930112087,0.5677065870453937
