experiment,acid_type,target_pH,final_pH,steps,overshoots,success
423,triprotic,8.78,7.63,50,24,False
424,diprotic,9.93,9.88,41,24,True
425,triprotic,2.7,2.61,16,0,True
426,triprotic,3.3,3.21,12,0,True
427,triprotic,3.08,3.0,23,0,True
428,monoprotic,9.01,10.46,50,31,False
429,triprotic,10.16,10.23,23,1,True
430,diprotic,4.13,4.08,24,0,True
431,monoprotic,4.37,4.3,8,0,True
432,diprotic,5.76,5.71,20,0,True
433,triprotic,9.38,10.1,50,25,False
434,monoprotic,7.12,7.2,19,1,True
435,triprotic,3.19,3.11,25,0,True
436,monoprotic,3.9,3.83,6,0,True
437,triprotic,7.99,7.91,41,0,True
438,triprotic,9.5,9.47,29,0,True
439,monoprotic,2.2,2.3,4,0,True
440,triprotic,3.6,3.51,20,0,True
441,monoprotic,2.21,2.3,5,0,True
442,monoprotic,4.22,4.15,3,0,True
443,monoprotic,3.03,2.94,18,0,True
444,triprotic,5.79,5.78,29,0,True
445,monoprotic,3.78,3.68,14,0,True
446,triprotic,4.72,4.63,39,0,True
447,monoprotic,9.29,11.2,50,31,False
448,monoprotic,10.76,10.78,10,1,True
449,diprotic,6.35,6.32,31,0,True
450,diprotic,9.37,10.9,50,35,False
451,monoprotic,9.62,9.66,26,17,True
452,triprotic,3.08,3.0,9,0,True
453,triprotic,2.4,2.31,19,0,True
454,triprotic,10.24,10.19,23,4,True
455,monoprotic,3.71,3.63,15,0,True
456,triprotic,3.41,3.32,31,0,True
457,diprotic,10.92,11.02,15,1,True
458,diprotic,6.14,6.05,33,0,True
459,triprotic,4.21,4.12,24,0,True
460,triprotic,3.75,3.69,25,0,True
461,diprotic,2.22,2.14,16,0,True
462,monoprotic,2.33,2.24,3,0,True
463,triprotic,6.99,6.9,46,0,True
464,monoprotic,7.7,4.26,50,44,False
465,monoprotic,7.47,4.84,50,40,False
466,triprotic,8.35,8.44,33,5,True
467,diprotic,2.76,2.68,5,0,True
468,triprotic,9.79,9.85,25,1,True
469,monoprotic,10.17,10.14,48,26,True
470,triprotic,7.11,7.02,35,0,True
471,diprotic,7.35,5.13,50,30,False
472,triprotic,6.57,6.33,50,0,False
473,monoprotic,9.26,4.35,50,30,False
474,monoprotic,9.74,11.01,50,25,False
475,monoprotic,8.65,9.23,50,43,False
476,diprotic,10.24,10.79,50,37,False
477,triprotic,7.99,7.92,36,0,True
478,monoprotic,2.6,2.65,3,0,True
479,diprotic,5.69,5.61,23,0,True
480,diprotic,6.05,5.99,34,0,True
481,monoprotic,4.44,4.43,22,0,True
482,monoprotic,8.88,10.45,50,31,False
